seller_id,order_quarter,total_orders,cumulative_orders,next_quarter,churn,monetary,cumulative_monetary,recency_days,active_months_count,active_days_count,tenure_months,seller_city,seller_state,median_review_score,total_orders_late_to_carrier,total_orders_late_to_customer,median_approval_time_hours,top_main_category
00ee68308b45bc5e2660cd833c3f81cc,2017Q4,39,41,2018Q1,0,5547.0,5787.0,1,3,26,3.4,sao paulo,SP,5.0,0,2,0.28,home
00ee68308b45bc5e2660cd833c3f81cc,2018Q1,75,116,2018Q2,0,13112.0,18899.0,0,3,51,6.4,sao paulo,SP,5.0,2,11,0.32,home
00ee68308b45bc5e2660cd833c3f81cc,2018Q2,16,132,2018Q3,0,2605.0,21504.0,12,3,14,9.5,sao paulo,SP,5.0,0,0,0.37,home
00ee68308b45bc5e2660cd833c3f81cc,2018Q3,2,134,,1,317.0,21821.0,52,2,2,12.5,sao paulo,SP,4.0,2,0,24.0,home
00fc707aaaad2d31347cf883cd2dfe10,2018Q1,91,91,2018Q2,0,11827.7,11827.7,4,3,35,2.0,maringa,PR,4.0,0,5,0.39,electronics
00fc707aaaad2d31347cf883cd2dfe10,2018Q2,11,102,,1,1488.2,13315.900000000001,17,3,8,5.0,maringa,PR,5.0,0,1,0.54,electronics
010543a62bd80aa422851e79a3bc7540,2017Q3,2,2,,1,1416.0,1416.0,59,2,2,2.9,sao paulo,SP,4.5,0,0,12.02,electronics
010da0602d7774602cd1b3f5fb7b709e,2018Q2,1,1,,1,849.5,849.5,24,1,1,0.8,sao bernardo do campo,SP,1.0,5,0,23.98,home
011b0eaba87386a2ae96a7d32bb531d1,2016Q4,1,1,,1,99.98,99.98,86,1,1,2.9,pompeia,SP,4.0,0,0,20.02,beauty_health
01266d4c46afa519678d16a8b683d325,2018Q3,3,3,,1,90.25,90.25,41,1,3,2.0,curitiba,PR,5.0,0,0,0.6,tools
013900e863eace745d3ec7614cab5b1a,2017Q1,2,2,2017Q3,0,146.0,146.0,4,1,2,0.9,curitiba,PR,5.0,0,0,0.19,baby
013900e863eace745d3ec7614cab5b1a,2017Q3,1,3,2017Q4,0,162.0,308.0,39,1,1,7.0,curitiba,PR,5.0,0,0,0.32,baby
013900e863eace745d3ec7614cab5b1a,2017Q4,7,10,2018Q1,0,460.7,768.7,9,2,6,10.1,curitiba,PR,5.0,2,0,1.27,fashion
013900e863eace745d3ec7614cab5b1a,2018Q1,11,21,2018Q2,0,709.9,1478.6,39,2,11,13.1,curitiba,PR,5.0,0,0,0.28,fashion
013900e863eace745d3ec7614cab5b1a,2018Q2,2,23,,1,186.0,1664.6,78,1,2,16.1,curitiba,PR,5.0,0,0,10.55,fashion
014c0679dd340a0e338872e7ec85666a,2017Q1,2,2,2017Q2,0,330.0,330.0,40,2,2,2.1,timoteo,MG,3.0,0,0,0.19,home
014c0679dd340a0e338872e7ec85666a,2017Q2,2,4,2017Q3,0,1188.0,1518.0,36,2,2,5.2,timoteo,MG,5.0,2,0,0.27,home
014c0679dd340a0e338872e7ec85666a,2017Q3,1,5,2017Q4,0,589.0,2107.0,20,1,1,8.2,timoteo,MG,5.0,1,0,0.13,garden
014c0679dd340a0e338872e7ec85666a,2017Q4,2,7,2018Q1,0,575.0,2682.0,17,2,2,11.3,timoteo,MG,3.5,1,0,0.25,home
014c0679dd340a0e338872e7ec85666a,2018Q1,5,12,2018Q2,0,3448.0,6130.0,4,3,5,14.3,timoteo,MG,4.0,2,2,0.58,home
014c0679dd340a0e338872e7ec85666a,2018Q2,1,13,2018Q3,0,358.0,6488.0,67,1,1,17.3,timoteo,MG,5.0,0,0,3.63,security_services
014c0679dd340a0e338872e7ec85666a,2018Q3,1,14,,1,680.0,7168.0,88,1,1,20.4,timoteo,MG,1.0,0,0,17.27,security_services
014d9a685fd57276679edd00e07089e5,2017Q4,1,1,2018Q1,0,69.99,69.99,40,1,1,1.3,maringa,PR,1.0,0,0,37.51,others
014d9a685fd57276679edd00e07089e5,2018Q1,5,6,2018Q2,0,287.95,357.94,2,2,5,4.3,maringa,PR,3.0,0,0,0.2,office
014d9a685fd57276679edd00e07089e5,2018Q2,2,8,2018Q3,0,131.97,489.90999999999997,71,1,2,7.4,maringa,PR,5.0,0,0,0.32,office
014d9a685fd57276679edd00e07089e5,2018Q3,3,11,,1,239.96999999999997,729.88,44,1,3,10.4,maringa,PR,5.0,1,0,0.38,office
0176f73cc1195f367f7b32db1e5b3aa8,2017Q4,3,3,2018Q1,0,559.7,559.7,31,1,3,1.5,ibitinga,SP,4.0,0,0,3.09,home
0176f73cc1195f367f7b32db1e5b3aa8,2018Q1,13,16,2018Q2,0,1533.6000000000001,2093.3,0,3,13,4.5,ibitinga,SP,4.0,0,2,0.28,home
0176f73cc1195f367f7b32db1e5b3aa8,2018Q2,13,29,2018Q3,0,1580.7,3674.0,2,3,11,7.5,ibitinga,SP,5.0,0,2,0.37,home
0176f73cc1195f367f7b32db1e5b3aa8,2018Q3,8,37,,1,1089.1000000000001,4763.1,48,2,8,10.6,ibitinga,SP,5.0,0,0,0.83,home
01bcc9d254a0143f0ce9791b960b2a47,2017Q3,6,6,2017Q4,0,1024.14,1024.14,2,2,6,1.6,uruacu,GO,4.0,0,0,0.25,beauty_health
01bcc9d254a0143f0ce9791b960b2a47,2017Q4,2,8,2018Q1,0,317.4,1341.54,74,1,2,4.7,uruacu,GO,4.5,0,0,0.32,beauty_health
01bcc9d254a0143f0ce9791b960b2a47,2018Q1,2,10,,1,287.25,1628.79,57,2,2,7.7,uruacu,GO,4.5,0,0,0.18,beauty_health
01c97ebb5cdac52891c0ed1c37ba0012,2017Q2,2,2,2017Q3,0,58.8,58.8,68,1,2,2.6,catanduva,SP,4.5,0,0,24.4,electronics
01c97ebb5cdac52891c0ed1c37ba0012,2017Q3,2,4,2017Q4,0,58.8,117.6,45,2,2,5.7,catanduva,SP,5.0,0,0,5.45,electronics
01c97ebb5cdac52891c0ed1c37ba0012,2017Q4,1,5,2018Q1,0,58.8,176.39999999999998,54,1,1,8.7,catanduva,SP,4.0,0,0,0.18,electronics
01c97ebb5cdac52891c0ed1c37ba0012,2018Q1,3,8,2018Q3,0,326.2,502.59999999999997,11,1,2,11.7,catanduva,SP,3.0,0,0,0.9,electronics
01c97ebb5cdac52891c0ed1c37ba0012,2018Q3,1,9,,1,74.9,577.5,61,1,1,17.8,catanduva,SP,5.0,0,0,0.85,electronics
01cf7e3d21494c41fb86034f2e714fa1,2016Q4,1,1,2017Q1,0,69.9,69.9,86,1,1,2.9,francisco beltrao,PR,5.0,0,0,0.48,others
01cf7e3d21494c41fb86034f2e714fa1,2017Q1,22,23,2017Q2,0,5530.81,5600.71,0,3,17,5.9,francisco beltrao,PR,5.0,1,0,0.09,home
01cf7e3d21494c41fb86034f2e714fa1,2017Q2,12,35,2017Q3,0,2557.09,8157.8,0,3,11,8.9,francisco beltrao,PR,5.0,0,1,0.4,home
01cf7e3d21494c41fb86034f2e714fa1,2017Q3,18,53,2018Q1,0,3071.6,11229.4,47,2,14,12.0,francisco beltrao,PR,5.0,0,1,0.24,home
01cf7e3d21494c41fb86034f2e714fa1,2018Q1,5,58,,1,1045.9,12275.3,33,1,5,18.0,francisco beltrao,PR,4.0,0,0,29.47,home
01ed254b9ff8407dfb9d99ba1e17d923,2017Q3,3,3,2017Q4,0,1017.0,1017.0,12,2,3,1.9,mogi das cruzes,SP,5.0,0,0,0.94,gifts_market
01ed254b9ff8407dfb9d99ba1e17d923,2017Q4,2,5,,1,448.99,1465.99,53,2,2,5.0,mogi das cruzes,SP,5.0,0,0,0.26,gifts_market
01fd077212124329bac32490e8ef80d9,2018Q2,14,14,2018Q3,0,511.0,511.0,1,3,12,2.5,ribeirao preto / sao paulo,SP,5.0,0,1,0.42,tools
01fd077212124329bac32490e8ef80d9,2018Q3,16,30,,1,622.0,1133.0,37,2,12,5.6,ribeirao preto / sao paulo,SP,5.0,0,0,0.24,beauty_health
01fdefa7697d26ad920e9e0346d4bd1b,2017Q2,10,10,2017Q3,0,850.1700000000001,850.1700000000001,3,3,10,2.2,londrina,PR,5.0,0,0,0.26,beauty_health
01fdefa7697d26ad920e9e0346d4bd1b,2017Q3,23,33,2017Q4,0,3269.16,4119.33,8,3,20,5.2,londrina,PR,5.0,0,1,0.27,beauty_health
01fdefa7697d26ad920e9e0346d4bd1b,2017Q4,32,65,2018Q1,0,4072.44,8191.77,10,3,26,8.3,londrina,PR,5.0,0,1,0.32,beauty_health
01fdefa7697d26ad920e9e0346d4bd1b,2018Q1,24,89,2018Q2,0,3072.5,11264.27,1,3,23,11.3,londrina,PR,5.0,0,4,0.43,beauty_health
01fdefa7697d26ad920e9e0346d4bd1b,2018Q2,14,103,2018Q3,0,1339.79,12604.06,2,3,13,14.3,londrina,PR,5.0,0,0,15.83,beauty_health
01fdefa7697d26ad920e9e0346d4bd1b,2018Q3,24,127,,1,2424.17,15028.23,41,2,17,17.4,londrina,PR,5.0,0,2,0.29,beauty_health
0241d4d5d36f10f80c644447315af0bd,2017Q4,25,25,2018Q1,0,1663.6,1663.6,0,3,18,2.8,curitiba,PR,5.0,0,1,1.53,home
0241d4d5d36f10f80c644447315af0bd,2018Q1,70,95,2018Q2,0,9320.6,10984.2,0,3,50,5.8,curitiba,PR,5.0,0,8,0.31,home
0241d4d5d36f10f80c644447315af0bd,2018Q2,80,175,2018Q3,0,13462.4,24446.6,0,3,57,8.8,curitiba,PR,5.0,7,3,0.63,home
0241d4d5d36f10f80c644447315af0bd,2018Q3,62,237,,1,9361.7,33808.3,33,2,30,11.9,curitiba,PR,5.0,6,1,0.58,home
0249d282d911d23cb8b869ab49c99f53,2017Q3,2,2,2017Q4,0,43.0,43.0,2,1,2,0.4,sao paulo,SP,3.5,0,0,0.27,toys_leisure
0249d282d911d23cb8b869ab49c99f53,2017Q4,8,10,2018Q1,0,328.0,371.0,40,2,8,3.5,sao paulo,SP,5.0,1,1,0.62,toys_leisure
0249d282d911d23cb8b869ab49c99f53,2018Q1,1,11,,1,22.0,393.0,9,1,1,6.5,sao paulo,SP,5.0,1,1,0.16,toys_leisure
024b564ae893ce8e9bfa02c10a401ece,2016Q4,1,1,2017Q1,0,467.40000000000003,467.40000000000003,87,1,1,2.9,sao paulo,SP,5.0,0,0,38.12,gifts_market
024b564ae893ce8e9bfa02c10a401ece,2017Q1,1,2,,1,239.0,706.4000000000001,47,1,1,5.9,sao paulo,SP,4.0,0,0,0.28,electronics
02b72cdeb9cfcc429f1af6f4e3f3b737,2018Q3,4,4,,1,522.65,522.65,39,2,4,2.2,ibitinga,SP,5.0,0,0,13.45,baby
02c988090b766852e088c69d7fb3b551,2017Q3,3,3,2017Q4,0,392.88,392.88,10,3,3,2.4,americana,SP,5.0,0,0,35.15,security_services
02c988090b766852e088c69d7fb3b551,2017Q4,2,5,2018Q1,0,232.77,625.65,34,2,2,5.4,americana,SP,1.0,0,0,0.54,security_services
02c988090b766852e088c69d7fb3b551,2018Q1,2,7,2018Q2,0,124.80000000000001,750.45,45,2,2,8.4,americana,SP,5.0,0,0,0.25,security_services
02c988090b766852e088c69d7fb3b551,2018Q2,3,10,2018Q3,0,537.7,1288.15,7,3,3,11.5,americana,SP,5.0,0,0,1.05,fashion
02c988090b766852e088c69d7fb3b551,2018Q3,2,12,,1,351.8,1639.95,46,2,2,14.5,americana,SP,4.5,0,0,20.87,security_services
02d35243ea2e497335cd0f076b45675d,2017Q2,2,2,2017Q3,0,747.0,747.0,3,2,2,2.1,natal,RN,3.0,3,0,24.16,home
02d35243ea2e497335cd0f076b45675d,2017Q3,6,8,2017Q4,0,1494.0,2241.0,6,2,5,5.1,natal,RN,4.0,5,1,16.59,home
02d35243ea2e497335cd0f076b45675d,2017Q4,4,12,2018Q1,0,3005.0,5246.0,13,2,4,8.2,natal,RN,3.0,5,4,3.22,home
02d35243ea2e497335cd0f076b45675d,2018Q1,1,13,2018Q3,0,289.0,5535.0,12,1,1,11.2,natal,RN,1.0,1,1,15.04,home
02d35243ea2e497335cd0f076b45675d,2018Q3,1,14,,1,259.0,5794.0,59,1,1,17.3,natal,RN,1.0,0,0,0.2,home
02dcd3e8e25bee036e32512bcf175493,2018Q1,7,7,2018Q2,0,798.0,798.0,8,2,5,1.3,contagem,MG,1.0,0,6,29.6,office
02dcd3e8e25bee036e32512bcf175493,2018Q2,2,9,2018Q3,0,174.0,972.0,61,1,2,4.3,contagem,MG,5.0,0,1,3.56,office
02dcd3e8e25bee036e32512bcf175493,2018Q3,4,13,,1,519.9,1491.9,39,2,4,7.4,contagem,MG,5.0,0,0,0.19,office
02ecc2a19303f05e59ce133fd923fff7,2017Q2,1,1,2017Q3,0,149.9,149.9,12,1,1,0.4,santo andre,SP,5.0,0,0,0.18,garden
02ecc2a19303f05e59ce133fd923fff7,2017Q3,2,3,2017Q4,0,449.70000000000005,599.6,3,1,2,3.5,santo andre,SP,5.0,0,0,0.17,tools
02ecc2a19303f05e59ce133fd923fff7,2017Q4,6,9,2018Q1,0,1999.6,2599.2,4,2,6,6.5,santo andre,SP,5.0,3,0,0.25,tools
02ecc2a19303f05e59ce133fd923fff7,2018Q1,6,15,2018Q2,0,1863.0,4462.2,1,3,6,9.5,santo andre,SP,4.0,0,0,1.15,garden
02ecc2a19303f05e59ce133fd923fff7,2018Q2,3,18,2018Q3,0,638.3199999999999,5100.5199999999995,48,2,3,12.6,santo andre,SP,5.0,0,0,0.4,tools
02ecc2a19303f05e59ce133fd923fff7,2018Q3,3,21,,1,402.57,5503.09,40,2,3,15.6,santo andre,SP,5.0,0,0,29.47,tools
02f5837340d7eb4f653d676c7256523a,2017Q4,12,12,2018Q1,0,1617.23,1617.23,2,2,11,2.0,curitiba,PR,5.0,0,0,0.28,gifts_market
02f5837340d7eb4f653d676c7256523a,2018Q1,13,25,2018Q2,0,1685.8700000000001,3303.1000000000004,24,2,11,5.0,curitiba,PR,5.0,0,1,0.23,gifts_market
02f5837340d7eb4f653d676c7256523a,2018Q2,3,28,2018Q3,0,347.96999999999997,3651.07,22,2,3,8.0,curitiba,PR,5.0,0,0,0.32,gifts_market
02f5837340d7eb4f653d676c7256523a,2018Q3,2,30,,1,231.98,3883.05,53,2,2,11.1,curitiba,PR,5.0,0,0,0.59,gifts_market
02f623a8eb246f3c5f7c2f96462654e6,2018Q2,15,15,2018Q3,0,2159.0,2159.0,0,3,14,2.2,botucatu,SP,5.0,0,0,0.36,toys_leisure
02f623a8eb246f3c5f7c2f96462654e6,2018Q3,28,43,,1,4230.0,6389.0,39,2,21,5.3,botucatu,SP,5.0,0,4,0.28,toys_leisure
0307f7565ff85b299b6e5ef162b1b1a9,2016Q4,1,1,2017Q1,0,50.699999999999996,50.699999999999996,82,1,1,2.7,sao jose do rio preto,SP,2.0,3,0,0.85,beauty_health
0307f7565ff85b299b6e5ef162b1b1a9,2017Q1,4,5,2017Q2,0,4096.0,4146.7,11,2,4,5.7,sao jose do rio preto,SP,5.0,2,0,0.11,others
0307f7565ff85b299b6e5ef162b1b1a9,2017Q2,1,6,,1,599.0,4745.7,36,1,1,8.8,sao jose do rio preto,SP,3.0,0,0,0.22,others
0336182e1b3e92f029d5354832045fdf,2016Q4,1,1,,1,29.8,29.8,87,1,1,2.9,ibitinga,SP,2.0,2,0,20.83,home
034b9387752bfa309f350a70cd45ffa3,2018Q2,5,5,2018Q3,0,72.0,72.0,12,2,5,2.7,blumenau,SC,4.5,0,0,0.33,toys_leisure
034b9387752bfa309f350a70cd45ffa3,2018Q3,3,8,,1,36.0,108.0,39,2,3,5.7,blumenau,SC,4.0,0,0,0.32,toys_leisure
038b75b729c8a9a04b0d07cba7eabe86,2018Q2,2,2,,1,467.0,467.0,69,1,2,2.4,sao jose dos campos,SP,3.5,0,1,72.0,home
039b29ff3b3473435d0cd59040575de9,2018Q2,4,4,2018Q3,0,42.8,42.8,5,3,4,2.2,ribeirao pires,SP,4.5,0,0,0.29,books_media
039b29ff3b3473435d0cd59040575de9,2018Q3,5,9,,1,72.1,114.89999999999999,38,2,5,5.2,ribeirao pires,SP,5.0,0,0,0.23,books_media
039e6ad9dae79614493083e241147386,2018Q2,4,4,2018Q3,0,11255.0,11255.0,47,2,4,2.9,sao paulo,SP,4.5,1,1,13.66,garden
039e6ad9dae79614493083e241147386,2018Q3,1,5,,1,1670.0,12925.0,82,1,1,6.0,sao paulo,SP,5.0,0,0,0.21,garden
03a2a6dcbe45d639c4dc2a0d24769c40,2018Q1,3,3,2018Q2,0,425.87,425.87,13,1,3,0.6,maua,SP,5.0,0,1,0.39,garden
03a2a6dcbe45d639c4dc2a0d24769c40,2018Q2,4,7,2018Q3,0,352.6,778.47,13,2,4,3.6,maua,SP,4.5,0,0,0.27,garden
03a2a6dcbe45d639c4dc2a0d24769c40,2018Q3,2,9,,1,299.94,1078.41,46,1,2,6.7,maua,SP,4.5,0,0,1.28,garden
03bd479e1d9484cdb14104d3023f7321,2018Q2,1,1,2018Q3,0,119.9,119.9,52,1,1,1.7,uberlandia,MG,5.0,0,1,0.26,automotive
03bd479e1d9484cdb14104d3023f7321,2018Q3,2,3,,1,239.8,359.70000000000005,68,1,2,4.8,uberlandia,MG,4.0,0,0,12.08,automotive
0417b067eeab773d2f7061a726dc477f,2018Q1,4,4,2018Q2,0,401.86,401.86,12,1,3,1.0,sao bento do sul,SC,5.0,0,2,0.28,automotive
0417b067eeab773d2f7061a726dc477f,2018Q2,5,9,2018Q3,0,516.95,918.8100000000001,46,2,5,4.0,sao bento do sul,SC,5.0,0,1,0.4,automotive
0417b067eeab773d2f7061a726dc477f,2018Q3,4,13,,1,1019.96,1938.77,41,2,4,7.1,sao bento do sul,SC,4.5,2,1,0.37,automotive
042573af89b6d931f672efaf789d8358,2018Q1,3,3,,1,471.98,471.98,48,2,3,2.3,sorocaba,SP,5.0,0,1,0.32,toys_leisure
04308b1ee57b6625f47df1d56f00eedf,2017Q4,7,7,2018Q1,0,8305.300000000001,8305.300000000001,11,2,7,1.6,bombinhas,SC,5.0,1,0,1.13,beauty_health
04308b1ee57b6625f47df1d56f00eedf,2018Q1,36,43,2018Q2,0,21087.399999999998,29392.699999999997,5,3,20,4.6,bombinhas,SC,5.0,9,6,1.08,beauty_health
04308b1ee57b6625f47df1d56f00eedf,2018Q2,6,49,2018Q3,0,4839.4,34232.1,22,2,6,7.6,bombinhas,SC,5.0,1,0,0.77,beauty_health
04308b1ee57b6625f47df1d56f00eedf,2018Q3,43,92,,1,24759.7,58991.8,49,2,27,10.7,bombinhas,SC,5.0,15,3,0.3,beauty_health
0432ead42b6c8a0bdf68154add917fdf,2017Q2,30,30,2017Q3,0,3323.4,3323.4,1,3,25,3.0,maua,SP,5.0,0,1,0.2,toys_leisure
0432ead42b6c8a0bdf68154add917fdf,2017Q3,20,50,2017Q4,0,1809.6000000000001,5133.0,6,3,18,6.0,maua,SP,5.0,0,1,0.29,toys_leisure
0432ead42b6c8a0bdf68154add917fdf,2017Q4,23,73,2018Q1,0,2017.8000000000002,7150.8,1,3,22,9.1,maua,SP,5.0,1,0,0.29,toys_leisure
0432ead42b6c8a0bdf68154add917fdf,2018Q1,7,80,2018Q2,0,651.3000000000001,7802.1,12,3,7,12.1,maua,SP,5.0,0,1,0.68,toys_leisure
0432ead42b6c8a0bdf68154add917fdf,2018Q2,1,81,2018Q3,0,35.9,7838.000000000001,48,1,1,15.1,maua,SP,4.0,0,0,0.43,toys_leisure
0432ead42b6c8a0bdf68154add917fdf,2018Q3,1,82,,1,35.9,7873.900000000001,65,1,1,18.2,maua,SP,5.0,0,0,8.68,toys_leisure
044668ccd5316b12a7cf0d54a156e3e9,2018Q3,2,2,,1,137.8,137.8,48,1,2,1.8,osasco,SP,5.0,0,0,0.34,food_drink
04843805947f0fc584fc1969b6e50fe7,2018Q3,1,1,,1,1400.0,1400.0,56,1,1,1.9,ivoti,RS,5.0,2,2,0.25,home
048c2757535328e0d7dac690ad3c0aae,2017Q1,5,5,2017Q2,0,914.9,914.9,2,1,5,0.9,franca,SP,5.0,0,0,0.23,fashion
048c2757535328e0d7dac690ad3c0aae,2017Q2,4,9,2017Q3,0,715.2,1630.1,33,2,4,3.9,franca,SP,5.0,0,0,0.22,fashion
048c2757535328e0d7dac690ad3c0aae,2017Q3,6,15,2017Q4,0,1023.0,2653.1,14,3,6,7.0,franca,SP,5.0,0,0,0.26,fashion
048c2757535328e0d7dac690ad3c0aae,2017Q4,8,23,2018Q1,0,1514.0,4167.1,1,3,8,10.1,franca,SP,5.0,0,1,1.38,fashion
048c2757535328e0d7dac690ad3c0aae,2018Q1,8,31,2018Q2,0,1309.7,5476.8,0,3,8,13.1,franca,SP,4.0,0,4,0.26,fashion
048c2757535328e0d7dac690ad3c0aae,2018Q2,13,44,2018Q3,0,2573.39,8050.19,11,3,13,16.1,franca,SP,5.0,0,1,0.38,fashion
048c2757535328e0d7dac690ad3c0aae,2018Q3,5,49,,1,1071.79,9121.98,40,2,5,19.2,franca,SP,5.0,1,0,9.47,fashion
04aa0a1c5ce6b222003403a3e11c3cc0,2017Q1,1,1,2017Q2,0,338.0,338.0,9,1,1,0.3,cosmopolis,SP,5.0,0,0,20.01,automotive
04aa0a1c5ce6b222003403a3e11c3cc0,2017Q2,3,4,2017Q3,0,1974.0,2312.0,34,2,3,3.3,cosmopolis,SP,4.0,0,0,19.84,automotive
04aa0a1c5ce6b222003403a3e11c3cc0,2017Q3,6,10,2018Q1,0,3097.0,5409.0,2,3,6,6.4,cosmopolis,SP,1.0,0,2,24.16,automotive
04aa0a1c5ce6b222003403a3e11c3cc0,2018Q1,1,11,,1,109.0,5518.0,66,1,1,12.5,cosmopolis,SP,4.0,1,0,3.46,toys_leisure
04aba03279157f6d4e0fe8ccaf21963c,2017Q2,2,2,2017Q3,0,286.0,286.0,44,1,2,1.7,santo antonio de padua,RJ,5.0,0,0,12.29,beauty_health
04aba03279157f6d4e0fe8ccaf21963c,2017Q3,1,3,2017Q4,0,114.0,400.0,38,1,1,4.8,santo antonio de padua,RJ,5.0,0,0,0.2,beauty_health
04aba03279157f6d4e0fe8ccaf21963c,2017Q4,6,9,2018Q1,0,1054.0,1454.0,11,3,6,7.8,santo antonio de padua,RJ,4.0,0,0,0.23,beauty_health
04aba03279157f6d4e0fe8ccaf21963c,2018Q1,4,13,2018Q2,0,544.0,1998.0,10,3,4,10.8,santo antonio de padua,RJ,5.0,0,1,10.91,beauty_health
04aba03279157f6d4e0fe8ccaf21963c,2018Q2,1,14,2018Q3,0,198.0,2196.0,81,1,1,13.9,santo antonio de padua,RJ,5.0,1,0,17.53,beauty_health
04aba03279157f6d4e0fe8ccaf21963c,2018Q3,1,15,,1,220.0,2416.0,35,1,1,16.9,santo antonio de padua,RJ,5.0,0,0,0.31,beauty_health
04e38a233f726ef161074ab1c9b0399a,2017Q3,4,4,2017Q4,0,280.6,280.6,5,1,4,0.5,sao paulo,SP,5.0,1,1,14.48,toys_leisure
04e38a233f726ef161074ab1c9b0399a,2017Q4,8,12,2018Q1,0,290.9,571.5,37,2,5,3.6,sao paulo,SP,4.0,8,2,0.43,toys_leisure
04e38a233f726ef161074ab1c9b0399a,2018Q1,4,16,2018Q2,0,247.4,818.9,11,2,4,6.6,sao paulo,SP,5.0,2,0,0.25,home
04e38a233f726ef161074ab1c9b0399a,2018Q2,3,19,,1,269.6,1088.5,56,2,3,9.6,sao paulo,SP,5.0,1,0,70.26,baby
